national_dex_id,name,type_primary,type_secondary,generation,region,source_game,sprite_url,description
1,Bulbasaur,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,
2,Ivysaur,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,
3,Venusaur,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,
4,Charmander,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,
5,Charmeleon,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,
6,Charizard,Fire,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,
7,Squirtle,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,
8,Wartortle,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,
9,Blastoise,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,
10,Caterpie,Bug,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,
11,Metapod,Bug,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,
12,Butterfree,Bug,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,
13,Weedle,Bug,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,
14,Kakuna,Bug,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,
15,Beedrill,Bug,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,
16,Pidgey,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,
17,Pidgeotto,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,
18,Pidgeot,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,
19,Rattata,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,
20,Raticate,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,
21,Spearow,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,
22,Fearow,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,
23,Ekans,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,
24,Arbok,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,
25,Pikachu,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,
26,Raichu,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,
27,Sandshrew,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,
28,Sandslash,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,
29,Nidoran F,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,
30,Nidorina,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,
31,Nidoqueen,Poison,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,
32,Nidoran M,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,
33,Nidorino,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,
34,Nidoking,Poison,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,
35,Clefairy,Fairy,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,
36,Clefable,Fairy,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,
